DisplayCountry,CurrencyCode,DisplayCountry_CurrencyCode,DisplayCurrencySymbol,SymbolPosition,Country,CurrencySymbol
Falkland Islands,FKP,Falkland Islands (FKP),£,0,Falkland Islands,£
Faroe Islands,DKK,Faroe Islands (DKK),kr.,1,Faroe Islands,kr.
Fiji,FJD,Fiji (FJD),$,0,Fiji,$
Finland,EUR,Finland (EUR),€,1,Finland,€
France,EUR,France (EUR),€,1,France,€
French Guiana,EUR,French Guiana (EUR),€,1,French Guiana,€
French Polynesia,XPF,French Polynesia (XPF),₣,1,French Polynesia,₣
French Southern Territories,EUR,French Southern Territories (EUR),€,1,French Southern Territories,€
Gabon,XAF,Gabon (XAF),Fr,1,Gabon,FCFA
Gambia,GMD,Gambia (GMD),D,0,Gambia,D
Georgia,GEL,Georgia (GEL),ლ,1,Georgia,ლ
Germany,EUR,Germany (EUR),€,1,Germany,€
Ghana,GHS,Ghana (GHS),₵,0,Ghana,₵
Gibraltar,GIP,Gibraltar (GIP),£,0,Gibraltar,£
Greece,EUR,Greece (EUR),€,1,Greece,€
Greenland,DKK,Greenland (DKK),kr.,1,Greenland,kr.
Grenada,XCD,Grenada (XCD),$,0,Grenada,$
Guadeloupe,EUR,Guadeloupe (EUR),€,1,Guadeloupe,€
Guam,USD,Guam (USD),$,0,Guam,$
Guatemala,GTQ,Guatemala (GTQ),Q,0,Guatemala,Q
Guernsey,GBP,Guernsey (GBP),£,0,Guernsey,£
Guinea,GNF,Guinea (GNF),₣,1,Guinea,₣
Guinea-Bissau,XOF,Guinea-Bissau (XOF),Fr,1,Guinea-Bissau,Franc
Guyana,GYD,Guyana (GYD),$,0,Guyana,$
Haiti,HTG,Haiti (HTG),G,0,Haiti,G
Haiti,USD,Haiti (USD),$,0,Haiti,$
Heard & McDonald Is.,AUD,Heard & McDonald Is. (AUD),$,0,Heard and McDonald Islands,$
Holy See,EUR,Holy See (EUR),€,1,Holy See,€
Honduras,HNL,Honduras (HNL),L,0,Honduras,L
Hong Kong,HKD,Hong Kong (HKD),$,0,Hong Kong,$
Hungary,HUF,Hungary (HUF),Ft,1,Hungary,Ft
Iceland,ISK,Iceland (ISK),Kr,1,Iceland,Kr
India,INR,India (INR),₹,0,India,₹
Indonesia,IDR,Indonesia (IDR),Rp,0,Indonesia,Rp
Iran,IRR,Iran (IRR),﷼,0,Iran,﷼
Iraq,IQD,Iraq (IQD),ع.د,0,Iraq,ع.د
Ireland,EUR,Ireland (EUR),€,0,Ireland,€
Isle of Man,GBP,Isle of Man (GBP),£,0,Isle of Man,£
Israel,ILS,Israel (ILS),₪,0,Israel,₪
Italy,EUR,Italy (EUR),€,1,Italy,€
Jamaica,JMD,Jamaica (JMD),$,0,Jamaica,$
Japan,JPY,Japan (JPY),¥,0,Japan,¥
Jersey,GBP,Jersey (GBP),£,0,Jersey,£
Jordan,JOD,Jordan (JOD),د.ا,0,Jordan,د.ا
Kazakhstan,KZT,Kazakhstan (KZT),〒,1,Kazakhstan,〒
Kenya,KES,Kenya (KES),Sh,0,Kenya,Sh
Kiribati,AUD,Kiribati (AUD),$,0,Kiribati,$
North Korea,KPW,North Korea (KPW),₩,1,North Korea,₩
South Korea,KRW,South Korea (KRW),₩,1,South Korea,₩
Kuwait,KWD,Kuwait (KWD),د.ك,0,Kuwait,د.ك
Kyrgyzstan,KGS,Kyrgyzstan (KGS),лв,1,Kyrgyzstan,лв
Laos,LAK,Laos (LAK),₭,0,Laos,₭
Latvia,EUR,Latvia (EUR),€,1,Latvia,€
Lebanon,LBP,Lebanon (LBP),ل.ل,0,Lebanon,ل.ل
Lesotho,LSL,Lesotho (LSL),L,0,Lesotho,L
Lesotho,ZAR,Lesotho (ZAR),R,0,Lesotho,R
Liberia,LRD,Liberia (LRD),$,0,Liberia,$
Libya,LYD,Libya (LYD),ل.د,0,Libya,ل.د
Liechtenstein,CHF,Liechtenstein (CHF),₣,0,Liechtenstein,₣
Lithuania,EUR,Lithuania (EUR),€,1,Lithuania,€
Luxembourg,EUR,Luxembourg (EUR),€,1,Luxembourg,€
Macao,MOP,Macao (MOP),P,0,Macao,P
Madagascar,MGA,Madagascar (MGA),MK,1,Madagascar,MK
Malawi,MWK,Malawi (MWK),MK,0,Malawi,MK
Malaysia,MYR,Malaysia (MYR),RM,0,Malaysia,RM
Maldives,MVR,Maldives (MVR),ރ,0,Maldives,ރ
Mali,XOF,Mali (XOF),Fr,1,Mali,Franc
Malta,EUR,Malta (EUR),€,1,Malta,€
Marshall Islands,USD,Marshall Islands (USD),$,0,Marshall Islands,$
Martinique,EUR,Martinique (EUR),€,1,Martinique,€
Mauritania,MRU,Mauritania (MRU),UM,1,Mauritania,UM
Mauritius,MUR,Mauritius (MUR),₨,0,Mauritius,₨
Mayotte,EUR,Mayotte (EUR),€,1,Mayotte,€
Mexico,MXN,Mexico (MXN),$,0,Mexico,$
Mexico,MXV,Mexico (MXV),$,0,Mexico,$
